<html><head>
<meta http-equiv="content-type" content="text/html; charset=windows-1252"><link href="TREC_UTARELS_0_tiedostot/screen.css" rel="stylesheet" type="text/css"><link href="TREC_UTARELS_0_tiedostot/screen_004.css" rel="stylesheet" type="text/css"><link href="TREC_UTARELS_0_tiedostot/screen_003.css" rel="stylesheet" type="text/css"><link href="TREC_UTARELS_0_tiedostot/screen_002.css" rel="stylesheet" type="text/css"></head><body><div class="fixed leftAlign">
353,00;"FR941230-2-00021";0,00<br>
353,00;"FBIS4-67539";0,00<br>
353,00;"FBIS4-67541";0,00<br>
353,00;"FT921-8446";0,00<br>
353,00;"FT921-150";0,00<br>
353,00;"FR940831-2-00096";0,00<br>
353,00;"FT922-348";0,00<br>
353,00;"FR940613-2-00023";0,00<br>
353,00;"FT922-8280";0,00<br>
353,00;"FT921-9532";0,00<br>
353,00;"FR940314-0-00047";0,00<br>
353,00;"FR940112-2-00115";0,00<br>
353,00;"FBIS4-67559";0,00<br>
353,00;"FR941005-2-00073";0,00<br>
353,00;"FT922-14119";0,00<br>
353,00;"FT922-13840";0,00<br>
353,00;"FR941221-2-00101";0,00<br>
353,00;"FT922-70";0,00<br>
353,00;"FT921-10884";0,00<br>
353,00;"FR940106-2-00086";0,00<br>
353,00;"FR940314-0-00048";0,00<br>
353,00;"FT923-14884";0,00<br>
353,00;"FR940314-0-00049";0,00<br>
353,00;"FT923-7735";0,00<br>
353,00;"FR940304-0-00044";0,00<br>
353,00;"FR941122-0-00084";0,00<br>
353,00;"FR940511-0-00064";0,00<br>
353,00;"FR940603-0-00114";0,00<br>
353,00;"FT922-5107";0,00<br>
353,00;"FT923-2631";0,00<br>
353,00;"FR940727-2-00007";0,00<br>
353,00;"FR940203-0-00084";0,00<br>
353,00;"FBIS4-67533";0,00<br>
353,00;"FR940406-0-00190";0,00<br>
353,00;"FT941-8534";0,00<br>
353,00;"FT942-15208";0,00<br>
353,00;"FT941-13554";0,00<br>
353,00;"FT944-15729";0,00<br>
353,00;"FT932-13928";0,00<br>
353,00;"FT942-6750";0,00<br>
353,00;"FT934-8939";0,00<br>
353,00;"FT943-5664";0,00<br>
353,00;"FT944-8677";0,00<br>
353,00;"FT934-1364";0,00<br>
353,00;"LA050189-0013";0,00<br>
353,00;"FT943-15602";0,00<br>
353,00;"FT931-16772";0,00<br>
353,00;"FT932-7492";0,00<br>
353,00;"LA021689-0113";0,00<br>
353,00;"FT933-16835";0,00<br>
353,00;"FT941-4654";0,00<br>
353,00;"FT942-7979";0,00<br>
353,00;"FT942-12894";0,00<br>
353,00;"LA050390-0241";0,00<br>
353,00;"LA031689-0215";0,00<br>
353,00;"FT941-3892";0,00<br>
353,00;"LA072390-0058";0,00<br>
353,00;"LA032789-0004";0,00<br>
353,00;"FT942-7081";0,00<br>
353,00;"LA020189-0064";0,00<br>
353,00;"FT932-9907";0,00<br>
353,00;"FT934-14520";0,00<br>
353,00;"FT924-8298";0,00<br>
353,00;"FT932-10041";0,00<br>
353,00;"FT942-6795";0,00<br>
353,00;"LA052889-0108";0,00<br>
353,00;"FT941-14251";0,00<br>
353,00;"FT942-7352";0,00<br>
353,00;"LA062389-0006";0,00<br>
353,00;"LA030489-0032";0,00<br>
353,00;"FT932-9033";0,00<br>
353,00;"FT942-9491";0,00<br>
353,00;"FT942-7616";0,00<br>
353,00;"FT942-7617";0,00<br>
353,00;"LA120389-0149";0,00<br>
353,00;"FT932-10319";0,00<br>
353,00;"LA030489-0115";0,00<br>
353,00;"LA122189-0125";0,00<br>
353,00;"FT931-786";0,00<br>
353,00;"LA072989-0035";0,00<br>
353,00;"LA011589-0120";0,00<br>
353,00;"LA083090-0151";0,00<br>
353,00;"FT924-9508";0,00<br>
353,00;"FT942-6763";0,00<br>
353,00;"LA062390-0058";0,00<br>
353,00;"FT932-8288";0,00<br>
353,00;"LA112189-0076";0,00<br>
353,00;"FT932-9085";0,00<br>
353,00;"LA020289-0059";0,00<br>
353,00;"LA072989-0069";0,00<br>
353,00;"LA100989-0051";0,00<br>
353,00;"FT934-341";0,00<br>
353,00;"LA070290-0143";0,00<br>
402,00;"FT921-14452";0,00<br>
402,00;"FR940525-2-00048";0,00<br>
402,00;"FR940802-1-00015";0,00<br>
402,00;"FR940613-2-00064";0,00<br>
402,00;"FR940323-2-00097";0,00<br>
402,00;"FR940928-2-00056";0,00<br>
402,00;"FT933-5693";0,00<br>
402,00;"FBIS4-23016";0,00<br>
402,00;"FR940817-2-00249";0,00<br>
402,00;"FBIS4-20522";0,00<br>
402,00;"FT931-5795";0,00<br>
402,00;"FR940224-2-00089";0,00<br>
402,00;"FT934-2039";0,00<br>
402,00;"FT933-6719";0,00<br>
402,00;"FR940413-2-00074";0,00<br>
402,00;"FBIS4-49251";0,00<br>
402,00;"FBIS4-22896";0,00<br>
402,00;"FBIS4-60762";0,00<br>
402,00;"FR941110-1-00115";0,00<br>
402,00;"FR940817-2-00230";0,00<br>
402,00;"FR940516-2-00062";0,00<br>
402,00;"FR940817-2-00233";0,00<br>
402,00;"FBIS4-52043";0,00<br>
402,00;"FR940817-2-00253";0,00<br>
402,00;"FT931-10925";0,00<br>
402,00;"FR940725-0-00048";0,00<br>
402,00;"FT922-5737";0,00<br>
402,00;"FR940812-2-00254";0,00<br>
402,00;"FR940906-2-00048";0,00<br>
402,00;"FR940705-2-00171";0,00<br>
402,00;"FR940817-2-00238";0,00<br>
402,00;"FBIS3-20885";0,00<br>
402,00;"FR940426-1-00113";0,00<br>
402,00;"FR941128-2-00003";0,00<br>
402,00;"FR941227-0-00016";0,00<br>
402,00;"FR941017-1-00041";0,00<br>
402,00;"FR940817-2-00240";0,00<br>
402,00;"FR940711-2-00084";0,00<br>
402,00;"FR940104-2-00085";0,00<br>
402,00;"FR940817-2-00235";0,00<br>
402,00;"FBIS3-40327";0,00<br>
402,00;"FR940816-1-00081";0,00<br>
402,00;"FR940817-2-00236";0,00<br>
402,00;"FR940817-2-00241";0,00<br>
402,00;"FT932-282";0,00<br>
402,00;"FR941213-2-00003";0,00<br>
402,00;"FBIS4-67439";0,00<br>
402,00;"FR940817-2-00231";0,00<br>
402,00;"FT923-3820";0,00<br>
402,00;"FBIS4-20645";0,00<br>
402,00;"FR940817-2-00243";0,00<br>
402,00;"FT934-4660";0,00<br>
402,00;"FBIS3-40654";0,00<br>
402,00;"FR940817-2-00234";0,00<br>
402,00;"FT931-9496";0,00<br>
402,00;"FR940817-2-00229";0,00<br>
402,00;"FR940630-2-00002";0,00<br>
402,00;"FR940817-2-00237";0,00<br>
402,00;"FR940817-2-00228";0,00<br>
402,00;"FR940817-2-00251";0,00<br>
402,00;"FT932-13552";0,00<br>
402,00;"FR940817-2-00252";0,00<br>
402,00;"FT934-2739";0,00<br>
402,00;"FR940405-1-00062";0,00<br>
402,00;"FR940817-2-00239";0,00<br>
402,00;"FR940817-2-00242";0,00<br>
402,00;"FT924-6386";0,00<br>
402,00;"FT941-3180";0,00<br>
402,00;"FR940817-2-00263";0,00<br>
402,00;"FT933-11998";0,00<br>
402,00;"FT931-2736";0,00<br>
402,00;"FR940513-2-00008";0,00<br>
402,00;"FT933-2692";0,00<br>
402,00;"FBIS4-26716";0,00<br>
402,00;"FBIS3-23649";0,00<br>
402,00;"FR941026-1-00016";0,00<br>
402,00;"FR940127-2-00018";0,00<br>
402,00;"FBIS3-10134";0,00<br>
402,00;"FBIS3-59756";0,00<br>
402,00;"FT934-11565";0,00<br>
402,00;"FBIS4-44458";0,00<br>
402,00;"FBIS3-45203";0,00<br>
402,00;"FBIS3-27407";0,00<br>
402,00;"FBIS3-43036";0,00<br>
402,00;"FBIS4-1549";0,00<br>
402,00;"FBIS3-42766";0,00<br>
402,00;"LA042690-0069";0,00<br>
402,00;"LA070390-0117";0,00<br>
402,00;"LA030690-0044";0,00<br>
402,00;"LA060590-0115";0,00<br>
402,00;"FT943-15629";0,00<br>
402,00;"LA050989-0168";0,00<br>
402,00;"FT944-6606";0,00<br>
402,00;"LA021689-0115";0,00<br>
402,00;"LA102390-0093";0,00<br>
402,00;"LA110590-0024";0,00<br>
402,00;"LA010989-0047";0,00<br>
402,00;"LA122589-0046";0,00<br>
402,00;"LA020590-0053";0,00<br>
402,00;"LA040990-0045";0,00<br>
402,00;"LA073090-0056";0,00<br>
402,00;"LA011389-0056";0,00<br>
402,00;"FT943-4851";0,00<br>
402,00;"LA020190-0043";0,00<br>
402,00;"LA120389-0120";0,00<br>
402,00;"LA112189-0147";0,00<br>
402,00;"LA101589-0047";0,00<br>
402,00;"LA062890-0104";0,00<br>
402,00;"LA062289-0068";0,00<br>
402,00;"LA101390-0155";0,00<br>
402,00;"LA051989-0006";0,00<br>
402,00;"LA062089-0028";0,00<br>
402,00;"LA091589-0015";0,00<br>
402,00;"LA100589-0130";0,00<br>
402,00;"FT944-15804";0,00<br>
402,00;"FT942-3637";0,00<br>
402,00;"FT942-15517";0,00<br>
402,00;"LA121189-0004";0,00<br>
402,00;"LA070590-0178";0,00<br>
402,00;"FT933-16692";0,00<br>
393,00;"FBIS4-35586";0,00<br>
393,00;"FT911-3557";0,00<br>
393,00;"FBIS4-58205";0,00<br>
393,00;"FT922-4313";0,00<br>
393,00;"FT931-7820";0,00<br>
393,00;"FT922-9373";0,00<br>
393,00;"LA032290-0217";0,00<br>
393,00;"FT924-1924";0,00<br>
393,00;"LA022690-0083";0,00<br>
393,00;"FBIS4-46275";0,00<br>
393,00;"LA020290-0178";0,00<br>
393,00;"FBIS4-12705";0,00<br>
393,00;"FT932-12996";0,00<br>
393,00;"FT934-2309";0,00<br>
393,00;"FT934-9326";0,00<br>
393,00;"FT923-1727";0,00<br>
393,00;"FT932-3627";0,00<br>
393,00;"FBIS3-7335";0,00<br>
393,00;"FBIS3-35587";0,00<br>
393,00;"FT933-8112";0,00<br>
393,00;"FBIS4-48418";0,00<br>
393,00;"FT941-752";0,00<br>
393,00;"FT932-9303";0,00<br>
393,00;"LA021189-0120";0,00<br>
393,00;"FT942-9894";0,00<br>
393,00;"FR940713-2-00117";0,00<br>
393,00;"FT944-387";0,00<br>
393,00;"FBIS3-25652";0,00<br>
393,00;"LA011389-0044";0,00<br>
393,00;"FT921-15869";0,00<br>
393,00;"FR940620-2-00053";0,00<br>
393,00;"FT921-4465";0,00<br>
393,00;"FT923-5754";0,00<br>
393,00;"FBIS4-711";0,00<br>
393,00;"FT931-1326";0,00<br>
393,00;"FBIS3-6017";0,00<br>
393,00;"FT924-10139";0,00<br>
393,00;"FT921-11651";0,00<br>
393,00;"FT921-8220";0,00<br>
393,00;"FT922-1318";0,00<br>
393,00;"FT942-174";0,00<br>
393,00;"FBIS4-2702";0,00<br>
393,00;"FBIS3-33871";0,00<br>
393,00;"FBIS3-13349";0,00<br>
393,00;"FBIS3-1031";0,00<br>
393,00;"LA022289-0093";0,00<br>
393,00;"LA030790-0049";0,00<br>
393,00;"FBIS3-22675";0,00<br>
393,00;"FBIS4-59853";0,00<br>
393,00;"FT941-2373";0,00<br>
393,00;"FR940114-1-00029";0,00<br>
393,00;"LA040390-0039";0,00<br>
393,00;"FR940513-2-00047";0,00<br>
393,00;"FT933-14740";0,00<br>
393,00;"LA012790-0005";0,00<br>
393,00;"FBIS4-37373";0,00<br>
393,00;"FBIS4-51220";0,00<br>
393,00;"FBIS3-12556";0,00<br>
393,00;"FBIS3-1678";0,00<br>
393,00;"FBIS4-20724";0,00<br>
393,00;"FR940328-0-00011";0,00<br>
393,00;"FBIS3-46356";0,00<br>
393,00;"FT943-2389";0,00<br>
393,00;"FT924-7651";0,00<br>
393,00;"LA011090-0118";0,00<br>
393,00;"FT944-12964";0,00<br>
393,00;"LA010489-0029";0,00<br>
393,00;"FBIS3-2983";0,00<br>
393,00;"LA032990-0139";0,00<br>
393,00;"LA012090-0135";0,00<br>
393,00;"LA031689-0048";0,00<br>
393,00;"FBIS3-42209";0,00<br>
393,00;"FBIS4-23662";0,00<br>
393,00;"FBIS4-66162";0,00<br>
393,00;"FBIS4-1549";0,00<br>
393,00;"FBIS3-43072";0,00<br>
393,00;"FBIS3-61562";0,00<br>
393,00;"FBIS3-54460";0,00<br>
393,00;"FR941026-2-00082";0,00<br>
393,00;"FBIS4-42";0,00<br>
393,00;"LA061190-0030";0,00<br>
393,00;"LA052190-0134";0,00<br>
393,00;"LA092989-0036";0,00<br>
393,00;"LA091189-0107";0,00<br>
393,00;"LA122689-0126";0,00<br>
393,00;"LA082789-0155";0,00<br>
393,00;"LA051290-0094";0,00<br>
393,00;"LA040989-0124";0,00<br>
393,00;"LA070989-0166";0,00<br>
393,00;"LA103090-0183";0,00<br>
393,00;"LA092290-0086";0,00<br>
393,00;"LA112290-0216";0,00<br>
393,00;"LA102090-0070";0,00<br>
393,00;"LA091389-0008";0,00<br>
393,00;"LA071589-0120";0,00<br>
393,00;"LA121590-0063";0,00<br>
393,00;"LA080890-0033";0,00<br>
393,00;"LA121390-0235";0,00<br>
393,00;"LA061690-0004";0,00<br>
393,00;"LA080190-0135";0,00<br>
393,00;"LA090489-0070";0,00<br>
393,00;"LA041090-0008";0,00<br>
393,00;"LA122789-0073";0,00<br>
393,00;"LA060789-0028";0,00<br>
393,00;"LA120890-0114";0,00<br>
393,00;"LA090990-0089";0,00<br>
393,00;"LA111590-0053";0,00<br>
393,00;"LA121490-0059";0,00<br>
393,00;"LA072990-0053";0,00<br>
393,00;"LA101390-0121";0,00<br>
393,00;"LA100690-0058";0,00<br>
393,00;"LA121689-0044";0,00<br>
393,00;"LA061490-0082";0,00<br>
393,00;"LA110690-0051";0,00<br>
393,00;"LA041789-0059";0,00<br>
393,00;"LA081389-0160";0,00<br>
393,00;"LA062489-0117";0,00<br>
393,00;"LA072190-0069";0,00<br>
393,00;"LA061090-0044";0,00<br>
393,00;"LA120190-0130";0,00<br>
393,00;"LA072290-0030";0,00<br>
393,00;"LA060690-0053";0,00<br>
393,00;"LA050390-0171";0,00<br>
393,00;"LA081990-0136";0,00<br>
393,00;"LA090890-0037";0,00<br>
393,00;"LA062190-0255";0,00<br>
393,00;"LA092189-0126";0,00<br>
393,00;"LA122390-0123";0,00<br>
396,00;"FT932-11013";0,00<br>
396,00;"FT934-16492";0,00<br>
396,00;"FT942-9262";0,00<br>
396,00;"FT922-1984";0,00<br>
396,00;"LA020790-0070";0,00<br>
396,00;"LA030689-0037";0,00<br>
396,00;"FT942-10612";0,00<br>
396,00;"FT933-735";0,00<br>
396,00;"FT932-4551";0,00<br>
396,00;"FT942-2362";0,00<br>
396,00;"FT933-11680";0,00<br>
396,00;"FT923-8708";0,00<br>
396,00;"LA010189-0127";0,00<br>
396,00;"FBIS3-50944";0,00<br>
396,00;"FT911-3967";0,00<br>
396,00;"FBIS4-25183";0,00<br>
396,00;"FBIS3-41816";0,00<br>
396,00;"FBIS3-22486";0,00<br>
396,00;"FT931-4431";0,00<br>
396,00;"FBIS3-60517";0,00<br>
396,00;"FBIS3-27014";0,00<br>
396,00;"FT921-247";0,00<br>
396,00;"FR940405-1-00090";0,00<br>
396,00;"FT943-7394";0,00<br>
396,00;"FBIS4-66100";0,00<br>
396,00;"FBIS3-10462";0,00<br>
396,00;"LA012589-0052";0,00<br>
396,00;"FT941-12785";0,00<br>
396,00;"LA011289-0128";0,00<br>
396,00;"FBIS4-14947";0,00<br>
396,00;"FR940523-2-00070";0,00<br>
396,00;"FR940725-0-00128";0,00<br>
396,00;"FR940128-1-00059";0,00<br>
396,00;"FR941202-0-00180";0,00<br>
396,00;"FT931-10761";0,00<br>
396,00;"FT923-14971";0,00<br>
396,00;"FT934-5058";0,00<br>
396,00;"FBIS3-40388";0,00<br>
396,00;"FR941026-2-00082";0,00<br>
396,00;"FBIS4-42";0,00<br>
396,00;"LA051889-0147";0,00<br>
396,00;"LA042990-0204";0,00<br>
396,00;"LA110890-0006";0,00<br>
396,00;"LA070789-0031";0,00<br>
396,00;"LA112290-0141";0,00<br>
396,00;"LA032290-0239";0,00<br>
396,00;"LA121589-0047";0,00<br>
396,00;"LA101890-0243";0,00<br>
396,00;"LA120389-0150";0,00<br>
396,00;"LA060189-0055";0,00<br>
396,00;"LA061390-0007";0,00<br>
396,00;"LA082489-0115";0,00<br>
396,00;"LA062590-0041";0,00<br>
396,00;"LA100390-0096";0,00<br>
396,00;"LA090589-0109";0,00<br>
396,00;"LA092189-0171";0,00<br>
396,00;"LA040489-0106";0,00<br>
396,00;"LA041590-0218";0,00<br>
418,00;"FT923-4234";0,00<br>
418,00;"FBIS3-60519";0,00<br>
418,00;"FT924-13150";0,00<br>
418,00;"FT943-3089";0,00<br>
418,00;"FT924-15658";0,00<br>
418,00;"FT921-16022";0,00<br>
418,00;"FT934-3652";0,00<br>
418,00;"FBIS3-55250";0,00<br>
418,00;"FT931-13234";0,00<br>
418,00;"FT941-6095";0,00<br>
418,00;"FBIS4-20387";0,00<br>
418,00;"FT944-8922";0,00<br>
418,00;"FBIS3-46915";0,00<br>
418,00;"FT942-7459";0,00<br>
418,00;"FT942-13856";0,00<br>
418,00;"FT922-2219";0,00<br>
418,00;"FT933-8195";0,00<br>
418,00;"FT932-13100";0,00<br>
418,00;"FT923-11642";0,00<br>
418,00;"FT944-3026";0,00<br>
418,00;"FT944-11031";0,00<br>
418,00;"FR940826-1-00020";0,00<br>
418,00;"FR941007-1-00172";0,00<br>
418,00;"FR940805-1-00134";0,00<br>
418,00;"FR940214-0-00030";0,00<br>
418,00;"FT911-2983";0,00<br>
418,00;"FR940607-2-00107";0,00<br>
418,00;"FBIS3-2955";0,00<br>
418,00;"FT941-13933";0,00<br>
418,00;"FT921-7099";0,00<br>
418,00;"FT932-6090";0,00<br>
418,00;"FT944-2255";0,00<br>
418,00;"FR940328-2-00123";0,00<br>
418,00;"FBIS3-9399";0,00<br>
418,00;"FR941122-2-00102";0,00<br>
418,00;"FT933-14501";0,00<br>
418,00;"FT924-6324";0,00<br>
418,00;"FT931-6723";0,00<br>
418,00;"FBIS3-2297";0,00<br>
418,00;"FBIS4-2959";0,00<br>
418,00;"FBIS3-20542";0,00<br>
418,00;"FBIS3-38938";0,00<br>
418,00;"FBIS4-53182";0,00<br>
418,00;"FBIS3-10291";0,00<br>
418,00;"FR940104-0-00033";0,00<br>
418,00;"FBIS4-47629";0,00<br>
418,00;"FBIS3-43174";0,00<br>
418,00;"FBIS4-66185";0,00<br>
418,00;"LA033189-0014";0,00<br>
418,00;"LA121490-0039";0,00<br>
418,00;"LA110490-0054";0,00<br>
418,00;"LA110190-0252";0,00<br>
418,00;"LA122390-0086";0,00<br>
418,00;"LA071590-0182";0,00<br>
418,00;"LA041689-0221";0,00<br>
418,00;"LA013089-0099";0,00<br>
418,00;"LA112289-0106";0,00<br>
418,00;"LA061289-0014";0,00<br>
418,00;"LA113090-0142";0,00<br>
418,00;"LA091489-0058";0,00<br>
418,00;"LA021889-0051";0,00<br>
418,00;"LA100389-0009";0,00<br>
418,00;"LA103189-0027";0,00<br>
418,00;"LA101190-0124";0,00<br>
418,00;"LA101889-0067";0,00<br>
418,00;"LA102690-0106";0,00<br>
418,00;"LA031989-0034";0,00<br>
418,00;"LA122590-0060";0,00<br>
418,00;"LA073089-0077";0,00<br>
418,00;"LA070489-0044";0,00<br>
418,00;"LA081489-0090";0,00<br>
418,00;"LA011589-0027";0,00<br>
418,00;"LA030589-0235";0,00<br>
418,00;"LA050989-0070";0,00<br>
418,00;"LA010289-0064";0,00<br>
418,00;"LA123090-0151";0,00<br>
400,00;"FBIS4-60123";0,00<br>
400,00;"FT921-9393";0,00<br>
400,00;"FBIS3-41426";0,00<br>
400,00;"FR940720-2-00002";0,00<br>
400,00;"FT921-1752";0,00<br>
400,00;"FBIS4-24823";0,00<br>
400,00;"FBIS4-17576";0,00<br>
400,00;"FBIS3-22320";0,00<br>
400,00;"FBIS3-22408";0,00<br>
400,00;"FR940428-1-00018";0,00<br>
400,00;"FBIS3-32216";0,00<br>
400,00;"FBIS3-32153";0,00<br>
400,00;"FBIS3-33291";0,00<br>
400,00;"FBIS3-51665";0,00<br>
400,00;"FBIS3-41414";0,00<br>
400,00;"FBIS4-10985";0,00<br>
400,00;"FBIS3-41436";0,00<br>
400,00;"FBIS3-21232";0,00<br>
400,00;"FBIS4-34690";0,00<br>
400,00;"FBIS4-67422";0,00<br>
400,00;"FR941021-2-00002";0,00<br>
400,00;"FBIS3-41557";0,00<br>
400,00;"FT922-4344";0,00<br>
400,00;"FBIS3-41433";0,00<br>
400,00;"FBIS4-21447";0,00<br>
400,00;"FT922-3161";0,00<br>
400,00;"FBIS4-67419";0,00<br>
400,00;"FBIS4-34814";0,00<br>
400,00;"FT922-2814";0,00<br>
400,00;"FBIS4-21372";0,00<br>
400,00;"FBIS4-20981";0,00<br>
400,00;"FBIS4-9746";0,00<br>
400,00;"FBIS4-34063";0,00<br>
400,00;"FBIS3-41591";0,00<br>
400,00;"FBIS4-57381";0,00<br>
400,00;"FBIS3-41071";0,00<br>
400,00;"FBIS3-32897";0,00<br>
400,00;"FBIS3-60270";0,00<br>
400,00;"FBIS4-67424";0,00<br>
400,00;"FBIS3-41430";0,00<br>
400,00;"FBIS4-45736";0,00<br>
400,00;"FT922-5104";0,00<br>
400,00;"FT921-3692";0,00<br>
400,00;"FBIS3-21843";0,00<br>
400,00;"FT922-5100";0,00<br>
400,00;"FR940228-1-00012";0,00<br>
400,00;"FT922-8377";0,00<br>
400,00;"FBIS3-17394";0,00<br>
400,00;"FBIS3-12000";0,00<br>
400,00;"FR940602-2-00158";0,00<br>
400,00;"FR940127-1-00088";0,00<br>
400,00;"FBIS4-67421";0,00<br>
400,00;"FBIS3-32955";0,00<br>
400,00;"FT922-5110";0,00<br>
400,00;"FBIS3-10137";0,00<br>
400,00;"FBIS4-10771";0,00<br>
400,00;"FBIS4-9733";0,00<br>
400,00;"FBIS3-61336";0,00<br>
400,00;"FT944-3299";0,00<br>
400,00;"LA092390-0028";0,00<br>
400,00;"FT943-16221";0,00<br>
400,00;"LA101890-0257";0,00<br>
400,00;"FT941-10601";0,00<br>
